Organización Política,Estado Org. Política,Tipo partido,Alcance,Fecha de inscripción,Fecha de cancelación
COLECTIVO CIUDADANO CONFIANZA PERU,CANCELADO,MOVIMIENTO REGIONAL,LIMA,,18/02/2015
LUCHEMOS POR TUMBES,CANCELADO,MOVIMIENTO REGIONAL,TUMBES,,18/02/2015
ADUANEC,CANCELADO,MOVIMIENTO REGIONAL,CALLAO,,18/02/2015
MOVIMIENTO AMPLIO REGIONAL CALLAO,CANCELADO,MOVIMIENTO REGIONAL,CALLAO,,18/02/2015
ALIANZA PARA EL PROGRESO DE AREQUIPA,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,18/02/2015
CONCERTACION EN PRO DE UNA MISION SOSTENIBLE,CANCELADO,MOVIMIENTO REGIONAL,AREQUIPA,,18/02/2015
PROYECTO INTEGRACIONISTA DE COMUNIDADES ORGANIZADAS,CANCELADO,MOVIMIENTO REGIONAL,HUANCAVELICA,,18/02/2015
LORETO PARA TODOS,CANCELADO,MOVIMIENTO REGIONAL,LORETO,,18/02/2015
INTEGRANDO UCAYALI,CANCELADO,MOVIMIENTO REGIONAL,UCAYALI,,18/02/2015
PATRIA ARRIBA PERU ADELANTE,CANCELADO,MOVIMIENTO REGIONAL,CUSCO,,18/02/2015
ALIANZA NACIONAL DE TRABAJADORES AGRICULTORES UNIVERSITARIOS RESERVISTAS Y OBREROS,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,18/03/2025
MOVIMIENTO REGIONAL NUEVA LIBERTAD,INSCRITO,MOVIMIENTO REGIONAL,LA LIBERTAD,,18/07/2024
PARTIDO POLITICO PRIN,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,19/01/2023
PARTIDO RENACIMIENTO ANDINO,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,19/03/2007
PARTIDO POLITICO PERU PRIMERO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,19/06/2023
MOVIMIENTO REGIONAL UNIDOS POR JUNIN,INSCRITO,MOVIMIENTO REGIONAL,JUNÍN,,19/07/2024
MOVIMIENTO POLITICO REGIONAL PERU LIBRE,CANCELADO,MOVIMIENTO REGIONAL,JUNÍN,,19/08/2019
UN AMIGO A TU SERVICIO,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),LA LIBERTAD - SANTIAGO DE CHUCO,,19/09/2013
FUTURO PARA TODOS,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),ANCASH - SANTA,,19/09/2013
SENTIMIENTO AMAZONENSE REGIONAL,INSCRITO,MOVIMIENTO REGIONAL,AMAZONAS,,19/12/2013
OBRAS SIEMPRE OBRAS,INSCRITO,MOVIMIENTO REGIONAL,PUNO,,20/02/2019
ALIANZA PARA EL PROGRESO DE AYACUCHO,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,20/03/2018
COALICION TRANSFORMADORA TIERRA VERDE,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,20/11/2025
MOVIMIENTO AMA SUA,INSCRITO,MOVIMIENTO REGIONAL,ANCASH,,21/05/2024
INTEGRACION CHINCHANA,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),ICA - CHINCHA,,21/06/2010
ORGANIZACION POLITICA LOCAL PROVINCIAL DIALOGO VECINAL,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),LIMA - LIMA,,21/06/2010
DEMOCRACIA CON VALORES,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),LIMA - LIMA,,21/06/2010
FRENTE INDEPENDIENTE CONCERTACION POR ANCON,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - ANCON,,21/06/2010
UNIDOS POR CHINCHA,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),ICA - CHINCHA,,21/06/2010
PATRIA JOVEN,INSCRITO,MOVIMIENTO REGIONAL,LIMA,,21/08/2006
MOVIMIENTO REGIONAL INTEGRACION HUANCAVELICANA,INSCRITO,MOVIMIENTO REGIONAL,HUANCAVELICA,,22/04/2024
UCAYALI REGION CON FUTURO,INSCRITO,MOVIMIENTO REGIONAL,UCAYALI,,22/05/2006
KAUSACHUN,INSCRITO,MOVIMIENTO REGIONAL,MOQUEGUA,,22/05/2014
PARTIDO DEMOCRATICO SOMOS PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,22/11/2004
DESARROLLO SOCIAL AMAZONENSE,CANCELADO,MOVIMIENTO REGIONAL,AMAZONAS,,23/03/2011
JUNTOS POR EL PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,23/11/2009
ALIANZA PERU POSIBLE,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,24/01/2011
ALIANZA CAJAMARCA SIEMPRE VERDE - FUERZA 2011,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,24/01/2011
GRAN ALIANZA NACIONALISTA DE MADRE DE DIOS,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,24/01/2011
ACUERDO REGIONAL DE INTEGRACION,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,24/01/2011
SUMATE - PERU POSIBLE,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,24/01/2011
PARTIDO APRISTA PERUANO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,24/03/2023
BANDERAS TACNEÑISTAS,INSCRITO,MOVIMIENTO REGIONAL,TACNA,,24/06/2010
AHORA NACION - AN,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,24/07/2024
VIVA PUNO,INSCRITO,MOVIMIENTO REGIONAL,PUNO,,24/10/2024
MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,INSCRITO,MOVIMIENTO REGIONAL,LIMA,,25/03/2014
NUEVA ESPERANZA,INSCRITO,MOVIMIENTO REGIONAL,TACNA,,25/04/2014
ALIANZA POR NUESTRO DESARROLLO,INSCRITO,MOVIMIENTO REGIONAL,AYACUCHO,,25/04/2018
ALIANZA REGIONAL JUNTOS POR AMAZONAS,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,25/06/2014
PARTIDO POLITICO PERU ACCION,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,25/07/2023
MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD,INSCRITO,MOVIMIENTO REGIONAL,ICA,,25/10/2013
"AREQUIPA, TRADICION Y FUTURO",INSCRITO,MOVIMIENTO REGIONAL,AREQUIPA,,25/11/2005
IDENTIDAD CANTEÑA,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),LIMA - CANTA,,26/02/2010
FRENTE DE CONCERTACION VECINAL CUTERVINA,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),CAJAMARCA - CUTERVO,,26/02/2010
UNIDOS POR PATAZ,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),LA LIBERTAD - PATAZ,,26/02/2010
SOMOS PUEBLO,INSCRITO,MOVIMIENTO REGIONAL,PUNO,,26/02/2018
MOVIMIENTO INDEPENDIENTE POLITICO VOLUNTAD GENERAL AMAZONICA - VOGA,INSCRITO,MOVIMIENTO REGIONAL,LORETO,,26/03/2014
PROGRESISTA DE APURIMAC,INSCRITO,MOVIMIENTO REGIONAL,APURÍMAC,,26/04/2018
MOVIMIENTO REGIONAL AGUA,INSCRITO,MOVIMIENTO REGIONAL,AYACUCHO,,27/04/2021
DEL CAMBIO A LA MODERNIDAD,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),ICA - CHINCHA,,27/08/2007
ESPERANZA POPULAR,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),PIURA - SULLANA,,27/08/2007
PROGRESEMOS PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
PARTIDO RECONSTRUCCION DEMOCRATICA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
PROYECTO PAIS,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
Y SE LLAMA PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
FUERZA DEMOCRATICA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
PARTIDO SOCIALISTA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
RESURGIMIENTO PERUANO,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
FRENTE INDEPENDIENTE MORALIZADOR,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
PERU AHORA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
PARTIDO POR LA DEMOCRACIA SOCIAL - COMPROMISO PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
CON FUERZA PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
PARTIDO JUSTICIA NACIONAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,27/08/2007
AREQUIPA REVOLUCION E IGUALDAD,CANCELADO,MOVIMIENTO REGIONAL,AREQUIPA,,28/01/2011
RENOVACION POR EL DESARROLLO,CANCELADO,MOVIMIENTO REGIONAL,MADRE DE DIOS,,28/01/2011
ALLIN KAUSAY,CANCELADO,MOVIMIENTO REGIONAL,AYACUCHO,,28/01/2011
MOVIMIENTO INDEPENDIENTE REGIONAL INTI,CANCELADO,MOVIMIENTO REGIONAL,HUANCAVELICA,,28/01/2011
MOVIMIENTO POR LA AUTONOMIA REGIONAL QUECHUA-AYMARA,CANCELADO,MOVIMIENTO REGIONAL,PUNO,,28/01/2011
FUERZA UNIDAD MOQUEGUA,CANCELADO,MOVIMIENTO REGIONAL,MOQUEGUA,,28/01/2011
COMPROMISO CAMPESINO,CANCELADO,MOVIMIENTO REGIONAL,CAJAMARCA,,28/01/2011
JUSTICIA REGIONAL,CANCELADO,MOVIMIENTO REGIONAL,MADRE DE DIOS,,28/01/2011
NUEVA FUERZA REGIONAL ANDINA,CANCELADO,MOVIMIENTO REGIONAL,APURÍMAC,,28/01/2011
ESFUERZO UNIDOS,CANCELADO,MOVIMIENTO REGIONAL,UCAYALI,,28/01/2011
MOVIMIENTO INDEPENDIENTE REGIONAL APURIMAC UNIDO,CANCELADO,MOVIMIENTO REGIONAL,APURÍMAC,,28/01/2011
MOVIMIENTO INDEPENDIENTE NUESTRO ILO-MOQUEGUA,CANCELADO,MOVIMIENTO REGIONAL,MOQUEGUA,,28/01/2011
MOVIMIENTO REGIONAL PUEBLO EN ACCION,CANCELADO,MOVIMIENTO REGIONAL,CUSCO,,28/01/2011
MOVIMIENTO INDEPENDIENTE TODOS POR LAMBAYEQUE,CANCELADO,MOVIMIENTO REGIONAL,LAMBAYEQUE,,28/01/2011
MOVIMIENTO INDEPENDIENTE REGIONALISTA AMAZONICO - MIRA,CANCELADO,MOVIMIENTO REGIONAL,LORETO,,28/01/2011
MOVIMIENTO REGIONAL VOZ VERDE,CANCELADO,MOVIMIENTO REGIONAL,LORETO,,28/01/2011
"MOVIMIENTO INDEPENDIENTE NUEVA ESPERANZA REGIONAL ANCASHINA ""NUEVA ERA""",CANCELADO,MOVIMIENTO REGIONAL,ANCASH,,28/01/2011
MOVIMIENTO DE INNOVACION CAJAMARCA,CANCELADO,MOVIMIENTO REGIONAL,CAJAMARCA,,28/01/2011
FUERZA REGIONAL INKA,CANCELADO,MOVIMIENTO REGIONAL,CUSCO,,28/01/2011
MOVIMIENTO DEMOCRATICO JUNTOS POR EL PROGRESO,CANCELADO,MOVIMIENTO REGIONAL,CUSCO,,28/01/2011
FRENTE INDEPENDIENTE DE LORETO,CANCELADO,MOVIMIENTO REGIONAL,LORETO,,28/01/2011
FRENTE INDEPENDIENTE REGIONAL,CANCELADO,MOVIMIENTO REGIONAL,CAJAMARCA,,28/01/2011
MOVIMIENTO POLITICO REGIONAL IDEAS,CANCELADO,MOVIMIENTO REGIONAL,SAN MARTÍN,,28/01/2011
QOSQOLLAY,CANCELADO,MOVIMIENTO REGIONAL,CUSCO,,28/01/2011
REVOLUCION REGIONAL,CANCELADO,MOVIMIENTO REGIONAL,HUANCAVELICA,,28/01/2011
MOVIMIENTO REGIONAL FUERZA POR MADRE DE DIOS - MR FMDD,INSCRITO,MOVIMIENTO REGIONAL,MADRE DE DIOS,,28/01/2014
MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,INSCRITO,MOVIMIENTO REGIONAL,UCAYALI,,28/01/2014
TODOS SOMOS AMAZONAS,CANCELADO,ALIANZA ELECTORAL,REGIONAL,,28/02/2018
BLOQUE POPULAR LAMBAYEQUE,CANCELADO,MOVIMIENTO REGIONAL,LAMBAYEQUE,,28/03/2011
MOVIMIENTO REGIONAL LAMBAYECANO PODER PARA TODOS,CANCELADO,MOVIMIENTO REGIONAL,LAMBAYEQUE,,28/03/2011
EL AGRO A LA REGION,CANCELADO,MOVIMIENTO REGIONAL,CAJAMARCA,,28/03/2011
TIERRA Y LIBERTAD,CANCELADO,MOVIMIENTO REGIONAL,CAJAMARCA,,28/03/2011
ACCION POR EL BIENESTAR,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),LA LIBERTAD - ASCOPE,,29/01/2019
VOCES DE LINCE,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - LINCE,,29/01/2019
TRABAJO MAS TRABAJO,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LA LIBERTAD - CHEPEN - PUEBLO NUEVO,,29/01/2019
VIVA LA MOLINA,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - LA MOLINA,,29/01/2019
FRENTE METROPOLITANO,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),LIMA - LIMA,,29/01/2019
ROCA FUERTE - SEGUNDA JERUSALEN,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),SAN MARTÍN - RIOJA,,29/01/2019
MOVIMIENTO INDEPENDIENTE REGIONAL YO SI AMO A TUMBES,CANCELADO,MOVIMIENTO REGIONAL,TUMBES,,29/01/2020
MOVIMIENTO REGIONAL ACUERDO POPULAR UNIFICADO,CANCELADO,MOVIMIENTO REGIONAL,CUSCO,,29/01/2020
JUNTOS POR EL SUR,CANCELADO,MOVIMIENTO REGIONAL,AREQUIPA,,29/01/2020
MAS SAN MARTIN,CANCELADO,MOVIMIENTO REGIONAL,SAN MARTÍN,,29/01/2020
SOMOS CAMBIO,CANCELADO,MOVIMIENTO REGIONAL,MOQUEGUA,,29/01/2020
CIENCIA Y ACCION MOVILIZADORA DE UCAYALI,CANCELADO,MOVIMIENTO REGIONAL,UCAYALI,,29/01/2020
MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,CANCELADO,MOVIMIENTO REGIONAL,AYACUCHO,,29/01/2020
MOVIMIENTO REGIONAL AGRO,CANCELADO,MOVIMIENTO REGIONAL,CUSCO,,29/01/2020
MOVIMIENTO INDEPENDIENTE OBRAS SIEMPRE OBRAS,CANCELADO,MOVIMIENTO REGIONAL,MADRE DE DIOS,,29/01/2020
MOVIMIENTO POLITICO REGIONAL UNIDOS POR SAN MARTIN,CANCELADO,MOVIMIENTO REGIONAL,SAN MARTÍN,,29/01/2020
MOVIMIENTO INDEPENDIENTE REGIONAL HORA CERO,CANCELADO,MOVIMIENTO REGIONAL,ANCASH,,29/01/2020
MOVIMIENTO REGIONAL ANDE - MAR,CANCELADO,MOVIMIENTO REGIONAL,ANCASH,,29/01/2020
MOVIMIENTO ETNOCACERISTA REGIONAL DEL CUSCO,CANCELADO,MOVIMIENTO REGIONAL,CUSCO,,29/01/2020
MOVIMIENTO POLITICO FRENTE AMPLIO REGIONAL PAISANOCUNA,CANCELADO,MOVIMIENTO REGIONAL,HUÁNUCO,,29/01/2020
MOVIMIENTO REGIONAL PARA EL DESARROLLO CON SEGURIDAD Y HONRADEZ,CANCELADO,MOVIMIENTO REGIONAL,LA LIBERTAD,,29/01/2020
PARTIDO PATRIOTICO DEL PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,29/03/2022
MOVIMIENTO REGIONAL EL MAICITO,INSCRITO,MOVIMIENTO REGIONAL,ANCASH,,29/05/2014
SALVEMOS AL PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,29/05/2023
FRENTE PATRIOTA PERUANO,CANCELADO,MOVIMIENTO REGIONAL,JUNÍN,,30/03/2011
"MOVIMIENTO INDEPENDIENTE UNIDOS POR JUNIN, SIERRA Y SELVA",CANCELADO,MOVIMIENTO REGIONAL,JUNÍN,,30/03/2011
LORETO RESTAURADO,CANCELADO,MOVIMIENTO REGIONAL,LORETO,,30/03/2011
MOVIMIENTO REGIONAL CONSTRUYENDO,INSCRITO,MOVIMIENTO REGIONAL,LAMBAYEQUE,,30/06/2010
MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,INSCRITO,MOVIMIENTO REGIONAL,AREQUIPA,,30/06/2014
RENOVACION NACIONAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,30/07/2012
MOVIMIENTO NUEVA IZQUIERDA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,30/07/2012
AGRUPACION INDEPENDIENTE SI CUMPLE,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,30/07/2012
MOVIMIENTO REGIONAL TRABAJO MAS TRABAJO,INSCRITO,MOVIMIENTO REGIONAL,LA LIBERTAD,,30/12/2021
FRENTE DE MOVILIZACION SOCIAL,CANCELADO,MOVIMIENTO REGIONAL,AREQUIPA,,31/03/2011
HACIA UN TUMBES DIFERENTE,CANCELADO,MOVIMIENTO REGIONAL,TUMBES,,31/03/2011
DECIDE,CANCELADO,MOVIMIENTO REGIONAL,AREQUIPA,,31/03/2011
MOVIMIENTO DE DESARROLLO LOCAL,CANCELADO,MOVIMIENTO REGIONAL,PIURA,,31/03/2011
MOVIMIENTO REGIONAL DE LAS MANOS LIMPIAS,CANCELADO,MOVIMIENTO REGIONAL,LAMBAYEQUE,,31/03/2011
AREQUIPA PRIMERO,CANCELADO,MOVIMIENTO REGIONAL,AREQUIPA,,31/03/2011
MOVIMIENTO PRODUCTIVO REGIONAL,CANCELADO,MOVIMIENTO REGIONAL,MADRE DE DIOS,,31/03/2011
MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,INSCRITO,MOVIMIENTO REGIONAL,HUÁNUCO,,31/05/2011
MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,INSCRITO,MOVIMIENTO REGIONAL,JUNÍN,,31/07/2017
PARTIDO PAIS PARA TODOS,INSCRITO,PARTIDO POLÍTICO,NACIONAL,02/08/2024,
PARTIDO DEL BUEN GOBIERNO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,02/08/2024,
PARTIDO UNIDAD Y PAZ,INSCRITO,PARTIDO POLÍTICO,NACIONAL,02/10/2024,
MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,INSCRITO,MOVIMIENTO REGIONAL,PIURA,04/03/2010,
COMUNIDAD POLITICA INKA PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,04/09/2025,
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,05/04/2024,
VERDAD Y HONRADEZ,INSCRITO,PARTIDO POLÍTICO,NACIONAL,07/01/2026,
PARTIDO POLITICO FUERZA MODERNA,INSCRITO,PARTIDO POLÍTICO,NACIONAL,07/08/2024,
UN CAMINO DIFERENTE,INSCRITO,PARTIDO POLÍTICO,NACIONAL,11/04/2025,
PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,INSCRITO,PARTIDO POLÍTICO,NACIONAL,11/04/2025,
PARTIDO CIVICO OBRAS,INSCRITO,PARTIDO POLÍTICO,NACIONAL,15/07/2024,
PARTIDO CIUDADANOS POR EL PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,17/01/2025,
PARTIDO SICREO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,18/03/2024,
PARTIDO POLITICO TODO CON EL PUEBLO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,18/08/2025,
PARTIDO POLITICO PERUANOS UNIDOS : ¡SOMOS LIBRES!,INSCRITO,PARTIDO POLÍTICO,NACIONAL,20/11/2024,
PARTIDO DEMOCRATICO FEDERAL,INSCRITO,PARTIDO POLÍTICO,NACIONAL,21/01/2025,
ADELANTE PUEBLO UNIDO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,23/06/2025,
UP UNIDAD POPULAR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,23/06/2025,
PARTIDO POLITICO POPULAR VOCES DEL PUEBLO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,23/10/2024,
PARTIDO POLITICO PUEBLO CONSCIENTE,INSCRITO,PARTIDO POLÍTICO,NACIONAL,24/09/2025,
PARTIDO POLITICO COOPERACION POPULAR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,25/11/2024,
BATALLA PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,31/01/2025,
